Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Pclass_ordinal,Fare_per_class,Family_size,Fare_log,Age_group,Survived_label,Class_label
0,3,22.0,1,0,7.25,True,False,True,1,7.25,2,2.1102132003465894,Adult,Did Not Survive,3rd Class
1,1,38.0,1,0,71.2833,False,False,False,3,23.7611,2,4.2805931204649,Middle-Aged,Survived,1st Class
1,3,26.0,0,0,7.925,False,False,True,1,7.925,1,2.188856327665703,Adult,Survived,3rd Class
1,1,35.0,1,0,53.1,False,False,True,3,17.7,2,3.9908341858524357,Adult,Survived,1st Class
0,3,35.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,28.0,0,0,8.4583,True,True,False,1,8.4583,1,2.246892662898172,Adult,Did Not Survive,3rd Class
0,1,54.0,0,0,51.8625,True,False,True,3,17.287499999999998,1,3.967694202798607,Middle-Aged,Did Not Survive,1st Class
0,3,2.0,3,1,21.075,True,False,True,1,21.075,5,3.094445746490024,Child,Did Not Survive,3rd Class
1,3,27.0,0,2,11.1333,False,False,True,1,11.1333,3,2.4959537387180646,Adult,Survived,3rd Class
1,2,14.0,1,0,30.0708,False,False,False,2,15.0354,2,3.436268471383741,Youth,Survived,2nd Class
1,3,4.0,1,1,16.7,False,False,True,1,16.7,3,2.8735646395797834,Child,Survived,3rd Class
1,1,58.0,0,0,26.55,False,False,True,3,8.85,1,3.3160025355989236,Middle-Aged,Survived,1st Class
0,3,20.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,39.0,1,5,31.275,True,False,True,1,31.275,7,3.4742929367327062,Middle-Aged,Did Not Survive,3rd Class
0,3,14.0,0,0,7.8542,False,False,True,1,7.8542,1,2.180891922715322,Youth,Did Not Survive,3rd Class
1,2,55.0,0,0,16.0,False,False,True,2,8.0,1,2.833213344056216,Middle-Aged,Survived,2nd Class
0,3,2.0,4,1,29.125,True,True,False,1,29.125,6,3.405355391810819,Child,Did Not Survive,3rd Class
1,2,28.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Adult,Survived,2nd Class
0,3,31.0,1,0,18.0,False,False,True,1,18.0,2,2.9444389791664403,Adult,Did Not Survive,3rd Class
1,3,28.0,0,0,7.225,False,False,False,1,7.225,1,2.1071782966514356,Adult,Survived,3rd Class
0,2,35.0,0,0,26.0,True,False,True,2,13.0,1,3.295836866004329,Adult,Did Not Survive,2nd Class
1,2,34.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Adult,Survived,2nd Class
1,3,15.0,0,0,8.0292,False,True,False,1,8.0292,1,2.2004637699272855,Youth,Survived,3rd Class
1,1,28.0,0,0,35.5,True,False,True,3,11.833333333333334,1,3.597312260588446,Adult,Survived,1st Class
0,3,8.0,3,1,21.075,False,False,True,1,21.075,5,3.094445746490024,Child,Did Not Survive,3rd Class
1,3,38.0,1,5,31.3875,False,False,True,1,31.3875,7,3.4777725458882283,Middle-Aged,Survived,3rd Class
0,3,28.0,0,0,7.225,True,False,False,1,7.225,1,2.1071782966514356,Adult,Did Not Survive,3rd Class
0,1,19.0,3,2,262.375,True,False,True,3,87.45833333333333,6,5.5735788721243535,Adult,Did Not Survive,1st Class
1,3,28.0,0,0,7.8792,False,True,False,1,7.8792,1,2.1837114628556327,Adult,Survived,3rd Class
0,3,28.0,0,0,7.8958,True,False,True,1,7.8958,1,2.1855792552411137,Adult,Did Not Survive,3rd Class
0,1,40.0,0,0,27.7208,True,False,False,3,9.240266666666667,1,3.357621598945279,Middle-Aged,Did Not Survive,1st Class
1,1,28.0,1,0,146.5208,False,False,False,3,48.84026666666667,2,4.993969182787072,Adult,Survived,1st Class
1,3,28.0,0,0,7.75,False,True,False,1,7.75,1,2.169053700369523,Adult,Survived,3rd Class
0,2,66.0,0,0,10.5,True,False,True,2,5.25,1,2.4423470353692043,Senior,Did Not Survive,2nd Class
0,1,28.0,1,0,82.1708,True,False,False,3,27.390266666666665,2,4.420896324687287,Adult,Did Not Survive,1st Class
0,1,42.0,1,0,52.0,True,False,True,3,17.333333333333332,2,3.970291913552122,Middle-Aged,Did Not Survive,1st Class
1,3,28.0,0,0,7.2292,True,False,False,1,7.2292,1,2.1076888046179385,Adult,Survived,3rd Class
0,3,21.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,18.0,2,0,18.0,False,False,True,1,18.0,3,2.9444389791664403,Youth,Did Not Survive,3rd Class
1,3,14.0,1,0,11.2417,False,False,False,1,11.2417,2,2.5048481563289,Youth,Survived,3rd Class
0,3,40.0,1,0,9.475,False,False,True,1,9.475,2,2.3489914658082016,Middle-Aged,Did Not Survive,3rd Class
0,2,27.0,1,0,21.0,False,False,True,2,10.5,2,3.091042453358316,Adult,Did Not Survive,2nd Class
0,3,28.0,0,0,7.8958,True,False,False,1,7.8958,1,2.1855792552411137,Adult,Did Not Survive,3rd Class
1,2,3.0,1,2,41.5792,False,False,False,2,20.7896,4,3.7513658711253766,Child,Survived,2nd Class
