pclass,age,sibsp,parch,fare,survived,sex_male,embarked_Q,embarked_S,pclass_ordinal,fare_per_class_unit,family_size,class_fare_interaction,fare_log,age_group,survived_label,class_label,age_zscore,fare_zscore,is_alone,high_fare,fare_quartile,class_survival_rate
3,24.5,0,2,24.66,1,False,False,True,1,24.66,3,-0.1017824408530153,3.2449333591874905,Adult,Survived,3rd Class,-0.3512,-0.1017,0,1,Q3_mid_high,0.2439
3,18.6,0,2,2.59,0,True,True,False,1,2.59,3,-0.5660738935038684,1.2781522025001877,Adult,Did Not Survive,3rd Class,-0.8375,-0.5658,0,0,Q1_low,0.2439
3,11.2,3,0,22.38,0,True,False,True,1,22.38,4,-0.149747303202084,3.1518809560439225,Child,Did Not Survive,3rd Class,-1.4474,-0.1497,0,1,Q3_mid_high,0.2439
3,23.8,0,0,7.31,0,False,False,True,1,7.31,1,-0.4667782135531648,2.1174596088673567,Adult,Did Not Survive,3rd Class,-0.4089,-0.4665,1,0,Q2_mid_low,0.2439
1,45.9,0,0,5.0,0,True,False,True,3,1.6666666666666667,1,-1.5461225775362688,1.791759469228055,Middle-Aged,Did Not Survive,1st Class,1.4126,-0.5151,1,0,Q1_low,0.6343
2,28.4,0,0,15.74,1,False,True,False,2,7.87,1,-0.5788688923671642,2.817801065061329,Adult,Survived,2nd Class,-0.0298,-0.2893,1,1,Q3_mid_high,0.4615
2,33.9,1,1,5.0,1,True,False,True,2,2.5,3,-1.0307483850241792,1.791759469228055,Adult,Survived,2nd Class,0.4236,-0.5151,0,0,Q1_low,0.4615
2,28.9,0,0,12.47,1,True,False,True,2,6.235,1,-0.7164523133158084,2.6004649904222727,Adult,Survived,2nd Class,0.0114,-0.358,1,1,Q3_mid_high,0.4615
1,38.3,0,0,7.28,1,True,False,False,3,2.4266666666666667,1,-1.402227990489063,2.113842968397168,Middle-Aged,Survived,1st Class,0.7862,-0.4671,1,0,Q2_mid_low,0.6343
1,28.4,0,0,253.5879999999993,0,True,False,True,3,84.5293333333331,1,14.142679003556154,5.539646552255254,Adult,Did Not Survive,1st Class,-0.0298,4.7116,1,1,Q4_high,0.6343
1,28.4,0,1,34.55,0,False,True,False,3,11.516666666666666,2,0.3188270045887022,3.5709401562492498,Adult,Did Not Survive,1st Class,-0.0298,0.1062,0,1,Q4_high,0.6343
3,17.8,0,0,1.0,0,False,False,True,1,1.0,1,-0.5995230738262451,0.6931471805599453,Youth,Did Not Survive,3rd Class,-0.9035,-0.5992,1,0,Q1_low,0.2439
3,20.0,0,2,35.7,0,True,False,True,1,35.7,3,0.1304684715740539,3.6027767550605247,Adult,Did Not Survive,3rd Class,-0.7221,0.1304,0,1,Q4_high,0.2439
2,24.2,1,0,15.28,1,True,False,True,2,7.64,2,-0.59822313506942,2.789937360574394,Adult,Survived,2nd Class,-0.3759,-0.2989,0,1,Q3_mid_high,0.4615
2,39.0,0,1,23.56,1,False,True,False,2,11.78,2,-0.2498467664288162,3.2011191032789417,Middle-Aged,Survived,2nd Class,0.8439,-0.1249,0,1,Q3_mid_high,0.4615
3,14.5,0,1,1.0,1,True,False,True,1,1.0,2,-0.5995230738262451,0.6931471805599453,Youth,Survived,3rd Class,-1.1755,-0.5992,0,0,Q1_low,0.2439
3,25.9,0,2,13.21,0,True,False,True,1,13.21,3,-0.3426586136147854,2.653945942109009,Adult,Did Not Survive,3rd Class,-0.2358,-0.3425,0,1,Q3_mid_high,0.2439
3,46.8,1,2,1.0,0,True,False,True,1,1.0,4,-0.5995230738262451,0.6931471805599453,Middle-Aged,Did Not Survive,3rd Class,1.4868,-0.5992,0,0,Q1_low,0.2439
3,25.0,0,2,17.99,1,False,False,True,1,17.99,3,-0.2421007004443696,2.9439125248241944,Adult,Survived,3rd Class,-0.31,-0.242,0,1,Q3_mid_high,0.2439
